departamento,municipio,nombreinstitucion,sedeinstitucional,codigodane,direccioninstitucion,educacionmediapoblacionfemenina,educacionmediapoblacionmasculina,educacionpreescolarpoblacionfemenina,educacionpreescolarpoblacionmasculina,educacionprimariapoblacionfemenina,educacionprimariapoblacionmasculina,educacionsecundariapoblacionfemenina,educacionsecundariapoblacionmasculina,totalestudiantes
Casanare,Monterrey,Institución educativa normal superior de monterrey,Normal superior de monterrey,185162000241,Carrera 4ano19 16,137,72,42,40,237,222,295,195,1.274
Casanare,Aguazul,Institución educativa leon de greiff,Leon de greiff,285010000640,Vereda monterralo,16,12,5,6,24,27,36,43,169
Casanare,Aguazul,Institución educativa cupiagua,Institución educativa cupiagua sede principal,285010000259,Vereda cupiagua,21,13,11,7,55,82,64,85,338
Casanare,Sabanalarga,Institución educativa jorge eliecer gaitan,Eliecer gaitan,185300000380,Barrio centro,50,31,17,15,96,80,96,114,499
Casanare,Nunchia,Institución educativa el pretexto,El pretexto,285225000039,Vereda el pretexto,4,13,7,7,21,27,27,31,137
Casanare,Mani,Institución educativa camilo torres restrepo,Institución educativa tecnico agropecuario camilo torres restrepo,285139000107,Corregimiento santa elena del cusiva,12,10,6,6,33,35,40,56,198
Casanare,Tauramena,Institución educativa jose maria cordoba,Jose maria cordoba,185410000016,Calle 8 N° 10 - 78,189,195,73,61,508,494,412,431,2.363
Casanare,Trinidad,Institución educativa el convento,El convento,285430000611,Vereda el convento,19,17,6,14,55,64,54,76,305
Casanare,La salina,Institución educativa jorge eliecer gaitan,Jorge eliecer gaitan,185136000047,Centro,16,22,3,8,27,32,38,60,206
Casanare,Pore,Institución educativa antonio nariño,Antonio nariño,285263000298,Corregimiento la plata,14,12,8,7,45,53,68,80,287
Casanare,Orocue,Institución educativa luis carlos galan sarmiento,Institución educativa luis carlos galan sarmiento,185230001090,Barrio la manga,46,29,40,23,230,236,184,166,968
Casanare,Tamara,Institución educativa colegio técnico la presentación,La presentación,185400000140,Barrio san jose,46,36,15,30,102,98,156,131,614
Casanare,Paz de ariporo,Institución educativa indigena san jose del ariporo,Institución educativa indigena san jose del ariporo sede principal,285250000574,Resguardo caño mochuelo,3,6,4,10,61,56,22,27,189
Casanare,Hato corozal,Institución educativa antonio martinez delgado,Antonio martinez delgado,185125000959,Carrera 12 N° 10 - 75,45,35,32,19,141,161,186,177,796
Casanare,Nunchia,Institución educativa salvador camacho roldan,Salvador camacho roldan,185225000379,Carrera 2 N°4 - 73,45,47,15,22,103,111,129,139,611
Casanare,Mani,Institución educativa luis enrique baron leal,Gaviotas,285139000069,Inspección de policia gaviotas,2,3,1,2,25,27,35,25,120
Casanare,San luis de palenque,Institución educativa la presentación,La presentación,185325000597,Calle 7 N° 3 - 17,74,54,21,30,176,197,248,198,998
Casanare,Trinidad,Institución educativa pozo petrolero,Pozo petrolero,285430000378,Vereda el pozo,23,20,5,6,38,51,52,72,267
